"x" "y" "z"
-0.89881516 0.393514789999999 5.11639417000001
-0.89017011 0.378461039999999 5.11341870999999
-0.39962149 0.0311261799999993 5.97276318999999
-0.89027167 0.377381489999999 5.0994264
-0.40100575 0.0403539400000001 5.95390331999999
-0.39069701 0.0290452700000001 5.97422803000001
-0.89041425 0.375559969999999 5.07182324999999
-0.39341403 0.0339023300000001 5.93235790999998
-0.39574958 0.02756135 5.95008862999998
-0.88558484 0.374237219999999 5.05871594999999
-0.89016581 0.37652795 5.06051647999999
-0.39839316 0.0471183499999999 5.91775525
-0.39602042 0.0278083499999999 5.93363965
-0.89046002 0.37343995 5.03155529999998
-0.40040971 0.0293571199999993 5.91079725
-0.88080264 0.37206475 5.03207409999999
-0.39155675 0.0380288799999997 5.89215099999998
-0.37820578 0.0352403299999997 5.894745
-0.39077187 0.0400487599999995 5.87980664
-0.88974524 0.376753969999999 5.01104748999998
-0.87640048 0.36803357 5.01557935
-0.37945939 0.0309297299999995 5.87205517999999
-0.37292481 0.0353929199999996 5.85073864999998
-0.39069987 0.0395137499999993 5.86343395999998
-0.54392434 0.586959999999999 5.43513500999998
-0.53865338 0.58162515 5.41537488
-0.88077737 0.37043206 4.99288952999999
-0.87613107 0.36862771 4.99156202
-0.37221814 0.0370580399999998 5.83811962999999
-0.53927804 0.59067456 5.41229260999998
-0.8800726 0.37359635 4.97224438999999
-0.87109233 0.36895196 4.98074352999998
-0.37269355 0.0352412900000001 5.81980909000001
-0.53652383 0.59032838 5.40203869999999
-0.53687383 0.581439179999999 5.40365613
-0.93042613 0.39253156 4.88752758999999
-0.87552358 0.37029092 4.95695508
-0.89290572 0.3017656 4.98002636999999
-0.89014865 0.289383099999999 4.97756970999998
-0.37318898 0.0331498799999999 5.80122387999998
-0.53364278 0.59010712 5.37785352
-0.53071261 0.576139609999999 5.37123120999999
-0.9155841 0.391890689999999 4.87762463999999
-0.91115619 0.38959138 4.87579357999999
-0.87088681 0.36863915 4.95594800000001
-0.87846185 0.29989926 4.95623792000001
-0.88877011 0.28887193 4.96865857
-0.52650929 0.59339635 5.37324537000001
-0.37332679 0.0321141899999997 5.78431713999998
-0.53083134 0.58084123 5.35566724
-0.86471749 0.42628114 4.91531384999999
-0.87156392 0.41909806 4.91894543999999
-0.90678788 0.38622681 4.87269605
-0.87260104 0.371559299999999 4.93531812000001
-0.86581469 0.36871545 4.93272411999999
-0.87297154 0.302553339999999 4.93620313
-0.37367392 0.0301057499999997 5.75093090999999
-0.52783299 0.59372918 5.35711683
-0.52869178 0.58944337 5.35684216999999
-0.87232972 0.41410271 4.90086377
-0.87154485 0.37150781 4.91079725
-0.87485219 0.31882493 4.93124401999998
-0.38210774 0.0326530199999997 5.73538220999998
-0.52328778 0.59309308 5.34977734999998
-0.52733565 0.580393 5.33282482999999
-0.86688138 0.41621129 4.90446484999998
-0.90589572 0.39126222 4.866974
